   №,ПРОДУКТ / УСЛУГА ,ОПЕРАЦИЯ,ДБО,ОС,ВЕРСИЯ,ВОПРОС,Видео-инструкция,Инструкция в FAQ,"Инструкция 
на сайте",1,2,3,4,5,6,7,8,9,10,11,12
1,Автоплатежи,Создание автоплатежа,МБ,Android,,Как настроить автоплатеж по расписанию после совершения операции,,https://www.open.ru/services/payments#2441 https://mobile.open.ru/#2276 https://www.open.ru/deposits/savings_account/faq#1216,"https://mobile.open.ru#1140
https://www.open.ru/services/payments#2441","Совершите любой нужный платеж или перевод (кроме перевода с чужой карты на свою и переводов по номеру телефона, а также многоэтапных платежей) и нажмите «Создать автоплатеж».",Введите название платежа и сумму.,Выберите частоту и срок действия платежа и нажмите «Подключить».,Подтвердите создание автоплатежа SMS-кодом.,Автоплатеж создан.,,,,,,,
2,Автоплатежи,Создание автоплатежа,МБ,iOS,,Как настроить автоплатеж по расписанию после совершения операции,,"https://mobile.open.ru/#2276  https://www.open.ru/deposits/savings_account/faq#1216
https://www.open.ru/services/payments#2441","https://mobile.open.ru#1140
https://www.open.ru/services/payments#2441","Совершите любой нужный платеж или перевод (кроме перевода с чужой карты на свою и переводов по номеру телефона, а также многоэтапных платежей) и нажмите «Создать автоплатеж».",Введите название автоплатежа и сумму.,Выберите частоту и срок действия платежа и нажмите «Сохранить».,Подтвердите создание автоплатежа SMS-кодом.,Автоплатеж создан.,"Настроеные автоплатеж можно посмотреть, отредактировать или удалить в разделе «Автоплатежи» на экране «Платежи и переводы».",,,,,,
3,Автоплатежи,Создание автоплатежа по расписанию,ИБ,,,Как настроить автоплатеж по расписанию из истории операций,,https://www.open.ru/services/payments#2441 https://www.open.ru/internetbank#2307  https://www.open.ru/deposits/savings_account/faq#1216,"https://www.open.ru/internetbank#2307
https://www.open.ru/services/payments#2441",Перейдите на вкладку «История операций».,Перейдите в раздел «В интернет-банке» — снизу отобразится история операция по всем продуктам.,Выберите в списке нужную операцию (кроме перевода с чужой карты на свою и переводов по номеру телефона) и нажмите на нее.,Нажмите «Автоплатеж».,"Введите название автоплатежа, сумму и укажите периодичность, с которой его нужно совершать: один раз, ежедневно, раз в неделю или раз в месяц. Если необходимо, уточните дату или период.",Подтвердите создание автоплатежа SMS-кодом.,Автоплатеж создан.,,,,,
4,Автоплатежи,Создание автоплатежа по расписанию,ИБ,,,Как настроить автоплатеж по расписанию после совершения операции,,https://www.open.ru/services/payments#2441 https://www.open.ru/internetbank#2307 ,"https://www.open.ru/internetbank#2307
https://www.open.ru/services/payments#2441","Cовершите любой платеж (кроме перевода с чужой карты на свою и переводов по номеру телефона, а также многоэтапных платежей), нажмите «Автоплатеж».",Перейдите на вкладку «По расписанию».,"Введите название автоплатежа, сумму и укажите периодичность, с которой его нужно совершать: один раз, ежедневно, раз в неделю или раз в месяц. Если необходимо, уточните дату или период.",Подтвердите создание автоплатежа SMS-кодом.,Автоплатеж создан.,,,,,,,
5,Автоплатежи,Изменение автоплатежа,МБ,iOS,2.93 и выше,Как изменить автоплатеж,,,,Перейдите на экран «Платежи и переводы».,Нажмите «Автоплатежи».,"Выберите автоплатеж, который хотите изменить и нажмите на него.",Внесите необходимые изменения и нажмите «Сохранить изменения».,Подтвердите изменение автоплатежа SMS-кодом.,Автоплатеж успешно создан.,,,,,,
6,Автоплатежи,Удаление автоплатежа,МБ,iOS,2.93 и выше,Как удалить автоплатеж,,,,Перейдите на экран «Платежи и переводы».,Нажмите «Автоплатежи».,"Найдите автоплатеж, который хотите удалить. Для быстрого удаления проведите по нему справа налево и подтвердите удаление. 
 
Если перед удалением хотите ознакомиться с деталями платежа, нажмите на него.",Нажмите на иконку корзины в верхнем правом углу.,"Подтвердите, что хотите удалить автоплатеж — нажмите «Удалить».",,,,,,,
7,Автоплатежи,Создание ежедневного автоплатежа,ИБ,,,Как настроить ежедневный автоплатеж,,,,После совершения платежа или перевода нажмите «Автоплатеж».,На вкладке «По расписанию» введите название автоплатежа и сумму.,В после «Повторять» выберите «Ежедневно».,"Выберите, сколько автоплатеж должен действовать: бессрочно, до определенной даты или один раз.",Нажмите сохранить.,Подтвердите создание автоплатежа SMS-кодом.,"Автоплатеж создан. Посмотреть, изменить или удалить его можно в разделе «Автоплатежи» во вкладках «Мои продукты», «Переводы» и «Платежи».",,,,,
8,Автоплатежи,Изменение автоплатежа,ИБ,,,Как изменить автоплатеж,,,,Перейдите на вкладки «Мои продукты» или «Платежи и переводы».,"Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.",Выберите нужный автоплатеж и нажмите на него.,Нажмите на иконку карандаша справа от названия автоплатежа.,Внестие необходимые измнения и нажмите «Сохранить».,Автоплатеж сохранен.,,,,,,
9,Автоплатежи,Удаление автоплатежа,ИБ,,,Как удалить автоплатеж,,,,Перейдите на вкладки «Мои продукты» или «Платежи и переводы».,"Перейдите в раздел «Автоплатежи» и нажмите на стрелку справа, чтобы посмотреть все автоплатежи.",Найдите нужный автоплатеж в списке.,Нажмите на иконку корзины справа от названия автоплатежа.,Нажимите «Удалить».,Автоплатеж удален.,,,,,,
10,Автоплатежи,Создание автоплатежа по выставленному счету,ИБ,,,Как настроить автоплатеж при выставленнии счета,,,,"На вкладке «История операций» найдите оплаченный счет, по которому хотите настроить автоплатеж и нажмите на него.",Нажмите «Автоплатеж».,На вкладке «При выставлении счета» укажите название автоплатежа и максимальну сумму одного платежа.,Нажмите «Подключить».,Введите SMS-код для подтверждения.,"Заявка на создание автоплатежа принята. Вы получите SMS или push-уведомление, как автплатеж будет подключен. 
 
 В следующий раз счет указанным в автоплатеже реквизитам будет оплачен автоматически.",,,,,,
